format_raw,Format,Metric,Year,count,Revenue [m$],Units [m],Rev [m$]
Download Single,Download,Units,2002,1,0,0,0
Download Single,Download,Units,2003,1,0,0,0
Download Single,Download,Units,2004,1,0,139,0
Download Single,Download,Units,2005,1,0,367,0
Download Single,Download,Units,2006,1,0,586,0
Download Single,Download,Units,2007,1,0,819,0
Download Single,Download,Units,2008,1,0,1043,0
Download Single,Download,Units,2009,1,0,1124,0
Download Single,Download,Units,2010,1,0,1177,0
Download Single,Download,Units,2011,1,0,1332,0
Download Single,Download,Units,2012,1,0,1403,0
Download Single,Download,Units,2013,1,0,1333,0
Download Single,Download,Units,2014,1,0,1154,0
Download Single,Download,Units,2015,1,0,986,0
Download Single,Download,Units,2016,1,0,743,0
Download Single,Download,Units,2017,1,0,554,0
Download Single,Download,Units,2018,1,0,400,0
Download Single,Download,Units,2019,1,0,335,0
Download Album,Download,Units,1973,1,0,0,0
Download Album,Download,Units,1974,1,0,0,0
Download Album,Download,Units,1975,1,0,0,0
Download Album,Download,Units,1976,1,0,0,0
Download Album,Download,Units,1977,1,0,0,0
Download Album,Download,Units,1978,1,0,0,0
Download Album,Download,Units,1979,1,0,0,0
Download Album,Download,Units,1980,1,0,0,0
Download Album,Download,Units,1981,1,0,0,0
Download Album,Download,Units,1982,1,0,0,0
Download Album,Download,Units,1983,1,0,0,0
Download Album,Download,Units,1984,1,0,0,0
Download Album,Download,Units,1985,1,0,0,0
Download Album,Download,Units,1986,1,0,0,0
Download Album,Download,Units,1987,1,0,0,0
Download Album,Download,Units,1988,1,0,0,0
Download Album,Download,Units,1989,1,0,0,0
Download Album,Download,Units,1990,1,0,0,0
Download Album,Download,Units,1991,1,0,0,0
Download Album,Download,Units,1992,1,0,0,0
Download Album,Download,Units,1993,1,0,0,0
Download Album,Download,Units,1994,1,0,0,0
Download Album,Download,Units,1995,1,0,0,0
Download Album,Download,Units,1996,1,0,0,0
Download Album,Download,Units,1997,1,0,0,0
Download Album,Download,Units,1998,1,0,0,0
Download Album,Download,Units,1999,1,0,0,0
Download Album,Download,Units,2000,1,0,0,0
Download Album,Download,Units,2001,1,0,0,0
Download Album,Download,Units,2002,1,0,0,0
Download Album,Download,Units,2003,1,0,0,0
Download Album,Download,Units,2004,1,0,5,0
Download Album,Download,Units,2005,1,0,14,0
Download Album,Download,Units,2006,1,0,28,0
Download Album,Download,Units,2007,1,0,50,0
Download Album,Download,Units,2008,1,0,64,0
Download Album,Download,Units,2009,1,0,75,0
Download Album,Download,Units,2010,1,0,86,0
Download Album,Download,Units,2011,1,0,104,0
Download Album,Download,Units,2012,1,0,117,0
Download Album,Download,Units,2013,1,0,118,0
Download Album,Download,Units,2014,1,0,114,0
Download Album,Download,Units,2015,1,0,107,0
Download Album,Download,Units,2016,1,0,85,0
Download Album,Download,Units,2017,1,0,66,0
Download Album,Download,Units,2018,1,0,50,0
Download Album,Download,Units,2019,1,0,40,0
Kiosk,Other,Units,1973,1,0,0,0
Kiosk,Other,Units,1974,1,0,0,0
Kiosk,Other,Units,1975,1,0,0,0
Kiosk,Other,Units,1976,1,0,0,0
Kiosk,Other,Units,1977,1,0,0,0
Kiosk,Other,Units,1978,1,0,0,0
Kiosk,Other,Units,1979,1,0,0,0
Kiosk,Other,Units,1980,1,0,0,0
Kiosk,Other,Units,1981,1,0,0,0
Kiosk,Other,Units,1982,1,0,0,0
Kiosk,Other,Units,1983,1,0,0,0
Kiosk,Other,Units,1984,1,0,0,0
Kiosk,Other,Units,1985,1,0,0,0
Kiosk,Other,Units,1986,1,0,0,0
Kiosk,Other,Units,1987,1,0,0,0
Kiosk,Other,Units,1988,1,0,0,0
Kiosk,Other,Units,1989,1,0,0,0
Kiosk,Other,Units,1990,1,0,0,0
Kiosk,Other,Units,1991,1,0,0,0
Kiosk,Other,Units,1992,1,0,0,0
Kiosk,Other,Units,1993,1,0,0,0
Kiosk,Other,Units,1994,1,0,0,0
Kiosk,Other,Units,1995,1,0,0,0
Kiosk,Other,Units,1996,1,0,0,0
Kiosk,Other,Units,1997,1,0,0,0
Kiosk,Other,Units,1998,1,0,0,0
Kiosk,Other,Units,1999,1,0,0,0
Kiosk,Other,Units,2000,1,0,0,0
Kiosk,Other,Units,2001,1,0,0,0
Kiosk,Other,Units,2002,1,0,0,0
Kiosk,Other,Units,2003,1,0,0,0
Kiosk,Other,Units,2004,1,0,0,0
Kiosk,Other,Units,2005,1,0,1,0
Kiosk,Other,Units,2006,1,0,1,0
Kiosk,Other,Units,2007,1,0,2,0
Kiosk,Other,Units,2008,1,0,2,0
Kiosk,Other,Units,2009,1,0,2,0
Kiosk,Other,Units,2010,1,0,2,0
Kiosk,Other,Units,2011,1,0,1,0
Kiosk,Other,Units,2012,1,0,2,0
Kiosk,Other,Units,2013,1,0,4,0
Kiosk,Other,Units,2014,1,0,2,0
Kiosk,Other,Units,2015,1,0,2,0
Kiosk,Other,Units,2016,1,0,2,0
Kiosk,Other,Units,2017,1,0,1,0
Kiosk,Other,Units,2018,1,0,1,0
Kiosk,Other,Units,2019,1,0,1,0
Download Music Video,Download,Units,1973,1,0,0,0
Download Music Video,Download,Units,1974,1,0,0,0
Download Music Video,Download,Units,1975,1,0,0,0
Download Music Video,Download,Units,1976,1,0,0,0
Download Music Video,Download,Units,1977,1,0,0,0
Download Music Video,Download,Units,1978,1,0,0,0
Download Music Video,Download,Units,1979,1,0,0,0
Download Music Video,Download,Units,1980,1,0,0,0
Download Music Video,Download,Units,1981,1,0,0,0
Download Music Video,Download,Units,1982,1,0,0,0
Download Music Video,Download,Units,1983,1,0,0,0
Download Music Video,Download,Units,1984,1,0,0,0
Download Music Video,Download,Units,1985,1,0,0,0
Download Music Video,Download,Units,1986,1,0,0,0
Download Music Video,Download,Units,1987,1,0,0,0
Download Music Video,Download,Units,1988,1,0,0,0
Download Music Video,Download,Units,1989,1,0,0,0
Download Music Video,Download,Units,1990,1,0,0,0
Download Music Video,Download,Units,1991,1,0,0,0
Download Music Video,Download,Units,1992,1,0,0,0
Download Music Video,Download,Units,1993,1,0,0,0
Download Music Video,Download,Units,1994,1,0,0,0
Download Music Video,Download,Units,1995,1,0,0,0
Download Music Video,Download,Units,1996,1,0,0,0
Download Music Video,Download,Units,1997,1,0,0,0
Download Music Video,Download,Units,1998,1,0,0,0
Download Music Video,Download,Units,1999,1,0,0,0
Download Music Video,Download,Units,2000,1,0,0,0
Download Music Video,Download,Units,2001,1,0,0,0
Download Music Video,Download,Units,2002,1,0,0,0
Download Music Video,Download,Units,2003,1,0,0,0
Download Music Video,Download,Units,2004,1,0,0,0
Download Music Video,Download,Units,2005,1,0,2,0
Download Music Video,Download,Units,2006,1,0,10,0
Download Music Video,Download,Units,2007,1,0,14,0
Download Music Video,Download,Units,2008,1,0,21,0
Download Music Video,Download,Units,2009,1,0,21,0
Download Music Video,Download,Units,2010,1,0,18,0
Download Music Video,Download,Units,2011,1,0,16,0
Download Music Video,Download,Units,2012,1,0,10,0
Download Music Video,Download,Units,2013,1,0,8,0
Download Music Video,Download,Units,2014,1,0,7,0
Download Music Video,Download,Units,2015,1,0,3,0
Download Music Video,Download,Units,2016,1,0,2,0
Download Music Video,Download,Units,2017,1,0,1,0
Download Music Video,Download,Units,2018,1,0,1,0
Download Music Video,Download,Units,2019,1,0,1,0
Ringtones & Ringbacks,Ringtones,Units,1974,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1975,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1976,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1977,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1978,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1979,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1980,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1981,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1982,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1983,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1984,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1985,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1986,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1987,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1988,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1989,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1990,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1991,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1992,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1993,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1994,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1995,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1996,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1997,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1998,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,1999,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,2000,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,2001,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,2002,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,2003,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,2004,1,0,0,0
Ringtones & Ringbacks,Ringtones,Units,2005,1,0,170,0
Ringtones & Ringbacks,Ringtones,Units,2006,1,0,315,0
Ringtones & Ringbacks,Ringtones,Units,2007,1,0,434,0
Ringtones & Ringbacks,Ringtones,Units,2008,1,0,405,0
Ringtones & Ringbacks,Ringtones,Units,2009,1,0,294,0
Ringtones & Ringbacks,Ringtones,Units,2010,1,0,189,0
Ringtones & Ringbacks,Ringtones,Units,2011,1,0,115,0
Ringtones & Ringbacks,Ringtones,Units,2012,1,0,59,0
Ringtones & Ringbacks,Ringtones,Units,2013,1,0,39,0
Ringtones & Ringbacks,Ringtones,Units,2014,1,0,27,0
Ringtones & Ringbacks,Ringtones,Units,2015,1,0,22,0
Ringtones & Ringbacks,Ringtones,Units,2016,1,0,23,0
Ringtones & Ringbacks,Ringtones,Units,2017,1,0,14,0
Ringtones & Ringbacks,Ringtones,Units,2018,1,0,10,0
Ringtones & Ringbacks,Ringtones,Units,2019,1,0,9,0
Paid Subscriptions,Paid Subscription,Units,1974,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1975,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1976,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1977,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1978,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1979,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1980,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1981,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1982,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1983,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1984,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1985,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1986,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1987,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1988,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1989,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1990,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1991,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1992,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1993,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1994,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1995,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1996,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1997,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1998,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1999,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,2000,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,2001,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,2002,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,2003,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,2004,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,2005,1,0,1,0
Paid Subscriptions,Paid Subscription,Units,2006,1,0,2,0
Paid Subscriptions,Paid Subscription,Units,2007,1,0,2,0
Paid Subscriptions,Paid Subscription,Units,2008,1,0,2,0
Paid Subscriptions,Paid Subscription,Units,2009,1,0,1,0
Paid Subscriptions,Paid Subscription,Units,2010,1,0,2,0
Paid Subscriptions,Paid Subscription,Units,2011,1,0,2,0
Paid Subscriptions,Paid Subscription,Units,2012,1,0,3,0
Paid Subscriptions,Paid Subscription,Units,2013,1,0,6,0
Paid Subscriptions,Paid Subscription,Units,2014,1,0,8,0
Paid Subscriptions,Paid Subscription,Units,2015,1,0,11,0
Paid Subscriptions,Paid Subscription,Units,2016,1,0,23,0
Paid Subscriptions,Paid Subscription,Units,2017,1,0,35,0
Paid Subscriptions,Paid Subscription,Units,2018,1,0,47,0
Paid Subscriptions,Paid Subscription,Units,2019,1,0,60,0
Paid Subscriptions,Paid Subscription,Units,1973,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1974,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1975,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1976,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1977,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1978,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1979,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1980,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1981,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1982,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1983,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1984,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1985,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1986,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1987,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1988,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1989,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1990,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1991,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1992,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1993,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1994,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1995,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1996,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1997,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1998,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,1999,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,2000,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,2001,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,2002,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,2003,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,2004,1,0,0,0
Paid Subscriptions,Paid Subscription,Units,2005,1,0,1,0
Paid Subscriptions,Paid Subscription,Units,2006,1,0,2,0
Paid Subscriptions,Paid Subscription,Units,2007,1,0,2,0
Paid Subscriptions,Paid Subscription,Units,2008,1,0,2,0
Paid Subscriptions,Paid Subscription,Units,2009,1,0,1,0
Paid Subscriptions,Paid Subscription,Units,2010,1,0,2,0
Paid Subscriptions,Paid Subscription,Units,2011,1,0,2,0
Paid Subscriptions,Paid Subscription,Units,2012,1,0,3,0
Paid Subscriptions,Paid Subscription,Units,2013,1,0,6,0
Paid Subscriptions,Paid Subscription,Units,2014,1,0,8,0
Paid Subscriptions,Paid Subscription,Units,2015,1,0,11,0
Paid Subscriptions,Paid Subscription,Units,2016,1,0,23,0
Paid Subscriptions,Paid Subscription,Units,2017,1,0,35,0
Paid Subscriptions,Paid Subscription,Units,2018,1,0,50,0
Paid Subscriptions,Paid Subscription,Units,2019,1,0,0,0
CD,CD,Value,1973,1,0,0,0
CD,CD,Value,1974,1,0,0,0
CD,CD,Value,1975,1,0,0,0
CD,CD,Value,1976,1,0,0,0
CD,CD,Value,1977,1,0,0,0
CD,CD,Value,1978,1,0,0,0
CD,CD,Value,1979,1,0,0,0
CD,CD,Value,1980,1,0,0,0
CD,CD,Value,1981,1,0,0,0
CD,CD,Value,1982,1,0,0,0
CD,CD,Value,1983,1,17,0,17
CD,CD,Value,1984,1,103,0,103
CD,CD,Value,1985,1,390,0,390
CD,CD,Value,1986,1,930,0,930
CD,CD,Value,1987,1,1594,0,1594
CD,CD,Value,1988,1,2090,0,2090
CD,CD,Value,1989,1,2588,0,2588
CD,CD,Value,1990,1,3452,0,3452
CD,CD,Value,1991,1,4338,0,4338
CD,CD,Value,1992,1,5327,0,5327
CD,CD,Value,1993,1,6511,0,6511
CD,CD,Value,1994,1,8465,0,8465
CD,CD,Value,1995,1,9377,0,9377
CD,CD,Value,1996,1,9935,0,9935
CD,CD,Value,1997,1,9915,0,9915
CD,CD,Value,1998,1,11416,0,11416
CD,CD,Value,1999,1,12816,0,12816
CD,CD,Value,2000,1,13215,0,13215
CD,CD,Value,2001,1,12909,0,12909
CD,CD,Value,2002,1,12044,0,12044
CD,CD,Value,2003,1,11233,0,11233
CD,CD,Value,2004,1,11447,0,11447
CD,CD,Value,2005,1,10520,0,10520
CD,CD,Value,2006,1,9373,0,9373
CD,CD,Value,2007,1,7452,0,7452
CD,CD,Value,2008,1,5471,0,5471
CD,CD,Value,2009,1,4319,0,4319
